"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Immunization Service","2","Create the immunization event for a patient through batch file","11","0","","0"
"0","Immunization Service","13","Search the immunization of a patient","37","0","","0"
"0","Immunization Service","0","Update the immunization of a patient","21","0","","0"
"0","Immunization Service","0","Create the immunization event for a patient","54","0","","0"
"0","Immunization Service","0","Delete an immunization of a patient","5","0","","0"
"0","Immunization Service","0","Read the immunization of a patient","6","0","","0"
