"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Immunization Service","Create the immunization event for a patient","","0","0","54","0","0"
"Immunization Service","Search the immunization of a patient","","0","23","27","0","0"
"Immunization Service","Create the immunization event for a patient through batch file","","0","0","10","0","0"
"Immunization Service","Delete an immunization of a patient","","0","0","5","0","0"
"Immunization Service","Read the immunization of a patient","","1","0","5","0","0"
"Immunization Service","Update the immunization of a patient","","0","0","21","0","0"
