"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Immunization Service","0","Update the immunization of a patient","25","0","","0"
"0","Immunization Service","0","Create the immunization event for a patient through batch file","14","0","","0"
"0","Immunization Service","29","Search the immunization of a patient","23","0","","0"
"0","Immunization Service","0","Create the immunization event for a patient","58","0","","0"
"0","Immunization Service","0","Read the immunization of a patient","6","0","","0"
"0","Immunization Service","0","Delete an immunization of a patient","5","0","","0"
